CÔNG TY CỔ PHẦN DILIGO,,,,,,,,,,,,,,,,,,,,,,,
ĐT: (+84) 24 3795 5333 / 336,,,,,,,,,,,,,,,,,,,,,,,
"Đ/c: Tầng 2, Toà nhà N03T5, Khu Đoàn ngoại giao, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BÁO CÁO NHẬP XUẤT TỒN,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày : 01/09/2025         đến ngày : 30/09/2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã kho,Tên kho,Mã hàng,Tên hàng,ĐVT,Tồn đầu kỳ,,,,Nhập trong kỳ,,,,,Xuất trong kỳ,,,,,Tồn cuối kỳ,,,
,,,,,,Số lượng,SL chẵn,SL lẻ,Giá trị,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị nhập,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị bán,Số lượng,SL chẵn,SL lẻ,Giá trị
32.26,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000012,Bàn chải Lipzo Flex khay,Cái,"1,043",0,"1,043","8,912,435",0,0,0,0,0,0,0,0,0,0,"1,043",0,"1,043","8,912,435"
32.27,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000013,Bàn chải Lipzo Flex vỉ,Cái,36,0,36,"307,620",0,0,0,0,0,0,0,0,0,0,36,0,36,"307,620"
32.28,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000014,Bàn chải Lipzo GPro,Cái,68,0,68,"2,090,388",0,0,0,0,0,0,0,0,0,0,68,0,68,"2,090,388"
32.29,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000015,Bàn chải Lipzo Ruby Charcoal,Cái,168,0,168,"4,673,424",0,0,0,0,0,0,0,0,0,0,168,0,168,"4,673,424"
32.30,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000019,Bàn chải Lipzo Crystal Kids,Cái,456,0,456,"7,684,512",0,0,0,0,0,0,0,0,0,0,456,0,456,"7,684,512"
32.31,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000020,Bàn chải Lipzo Kids S1,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.32,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000021,Bàn chải Lipzo Kids S2,Cái,"2,110",0,"2,110","31,259,650",0,0,0,0,0,0,0,0,0,0,"2,110",0,"2,110","31,259,650"
32.33,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000057,Bàn chải Lipzo Hello vỉ thường,Cái,26,0,26,"208,000",0,0,0,0,0,0,0,0,0,0,26,0,26,"208,000"
32.34,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000063,Bàn chải Lipzo Hello thường (khay cắm),Cái,336,0,336,"2,168,880",0,0,0,0,0,0,0,0,0,0,336,0,336,"2,168,880"
32.35,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000065,Bàn chải Maxcare,Cái,"3,616",0,"3,616","60,155,776",0,0,0,0,0,0,0,0,0,0,"3,616",0,"3,616","60,155,776"
32.36,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000066,Bàn chải Maxcare X,Cái,92,0,92,"1,789,860",0,0,0,0,0,0,0,0,0,0,92,0,92,"1,789,860"
32.37,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000078,Bàn chải Lipzo áo dài,Cái,240,0,240,"6,218,160",0,0,0,0,0,0,0,0,0,0,240,0,240,"6,218,160"
32.38,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000102,Bàn chải Lipzo Kids S3,Cái,227,0,227,"6,452,702",0,0,0,0,0,0,0,0,0,0,227,0,227,"6,452,702"
32.39,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000105,Bàn chải cao cấp Procare,Cái,42,0,42,"1,633,296",0,0,0,0,0,0,0,0,0,0,42,0,42,"1,633,296"
32.40,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000106,Bàn chải cao cấp Sensitive,Cái,352,0,352,"12,548,096",0,0,0,0,0,0,0,0,0,0,352,0,352,"12,548,096"
32.41,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000107,Bàn chải cao cấp Teen,Cái,683,0,683,"24,347,584",0,0,0,0,0,0,0,0,0,0,683,0,683,"24,347,584"
32.42,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000108,Bàn chải cao cấp Orthor,Cái,476,0,476,"15,425,732",0,0,0,0,0,0,0,0,0,0,476,0,476,"15,425,732"
32.43,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000109,Bàn chải cao cấp Adam,Cái,116,0,116,"4,135,168",0,0,0,0,0,0,0,0,0,0,116,0,116,"4,135,168"
32.44,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000110,Bàn chải Kids Step1,Cái,84,0,84,"2,177,700",0,0,0,0,0,0,0,0,0,0,84,0,84,"2,177,700"
32.45,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000122,Bàn chải cao cấp Procare bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"174,999",0,0,0,0,0,0,0,0,0,0,3,0,3,"174,999"
32.46,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000123,Bàn chải cao cấp Sensitive bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"160,416",0,0,0,0,0,0,0,0,0,0,3,0,3,"160,416"
32.47,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000124,Bàn chải cao cấp Teen bộ đôi tiết kiệm 50% cây thứ 2,Cái,5,0,5,"267,360",0,0,0,0,0,0,0,0,0,0,5,0,5,"267,360"
32.48,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000125,Bàn chải cao cấp Othor bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"145,833",0,0,0,0,0,0,0,0,0,0,3,0,3,"145,833"
32.49,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000126,Bàn chải cao cấp Adam bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"160,416",0,0,0,0,0,0,0,0,0,0,3,0,3,"160,416"
32.50,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000127,Bàn chải Lipzo Áo dài bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"116,589",0,0,0,0,0,0,0,0,0,0,3,0,3,"116,589"
32.51,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000128,Bàn chải Lipzo Crystal Love for Girl bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"72,915",0,0,0,0,0,0,0,0,0,0,3,0,3,"72,915"
32.52,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000130,Bàn chải Lipzo Ruby Charcoal bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"125,178",0,0,0,0,0,0,0,0,0,0,3,0,3,"125,178"
32.53,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000132,Bàn chải Lipzo Ruby Sensi bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"85,833",0,0,0,0,0,0,0,0,0,0,3,0,3,"85,833"
32.54,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000152,Bàn chải cao cấp Wow Pro,Cái,335,0,335,"11,011,450",0,0,0,0,0,0,0,0,0,0,335,0,335,"11,011,450"
32.55,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000153,Bàn chải cao cấp Pro,Cái,415,0,415,"12,680,325",0,0,0,0,0,0,0,0,0,0,415,0,415,"12,680,325"
32.56,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000154,Bàn chải cao cấp Max X,Cái,142,0,142,"4,667,540",0,0,0,0,0,0,0,0,0,0,142,0,142,"4,667,540"
32.57,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000155,Bàn chải cao cấp Man X,Cái,166,0,166,"5,456,420",0,0,0,0,0,0,0,0,0,0,166,0,166,"5,456,420"
32.58,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000156,Bàn chải cao cấp Ruby Pro,Cái,262,0,262,"8,005,410",0,0,0,0,0,0,0,0,0,0,262,0,262,"8,005,410"
32.59,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000157,Bàn chải cao cấp Áo dài Pro,Cái,670,0,670,"22,022,900",0,0,0,0,0,0,0,0,0,0,670,0,670,"22,022,900"
32.60,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000161,Bàn chải Lipzo Kids S1 bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"143,331",0,0,0,0,0,0,0,0,0,0,3,0,3,"143,331"
32.61,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000162,Bàn chải Lipzo Kids S2 bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"66,666",0,0,0,0,0,0,0,0,0,0,3,0,3,"66,666"
32.62,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411000163,Bàn chải Lipzo Crystal Kids bộ đôi tiết kiệm 50% cây thứ 2,Cái,3,0,3,"75,831",0,0,0,0,0,0,0,0,0,0,3,0,3,"75,831"
32.63,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100001,Kem đánh răng Shiny Clean 185g,Typ,10,0,10,"315,000",0,0,0,0,0,0,0,0,0,0,10,0,10,"315,000"
32.64,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100004,Kem đánh răng Gum protect 185g,Typ,22,0,22,"1,020,008",0,0,0,0,0,0,0,0,0,0,22,0,22,"1,020,008"
32.65,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100005,Kem đánh răng Gum protect 95g,Typ,22,0,22,"640,002",0,0,0,0,0,0,0,0,0,0,22,0,22,"640,002"
32.66,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100012,Kem đánh răng Shiny Clean 95g,Typ,12,0,12,"270,000",0,0,0,0,0,0,0,0,0,0,12,0,12,"270,000"
32.67,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100014,Kem đánh răng trẻ em vị chuối 75g,Typ,24,0,24,"785,448",0,0,0,0,0,0,0,0,0,0,24,0,24,"785,448"
32.68,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100016,Kem đánh răng Lipzo Kids Dâu 75g,Hộp,24,0,24,"792,000",0,0,0,0,0,0,0,0,0,0,24,0,24,"792,000"
32.69,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,411100021,Kem đánh răng dược liệu 110g,Typ,220,12,76,"8,800,000",0,0,0,0,0,0,0,0,0,0,220,12,76,"8,800,000"
32.70,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,419800092,Bộ 2 bàn chải Crystal Love for Girl tặng 01 Crystal love for Girl,Bộ,83,0,83,"2,689,781",0,0,0,0,0,0,0,0,0,0,83,0,83,"2,689,781"
32.71,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,419800394,Mua 2 KĐR trẻ em vị chuối 75g Tặng 1 bàn chải Crystal Kids,Bộ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.72,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,419800438,Mua kem đánh răng 12H rạng ngời 185g tặng bàn chải Lipzo Maxcare,Typ,10,0,10,"318,180",0,0,0,0,0,0,0,0,0,0,10,0,10,"318,180"
32.73,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,419800439,Mua kem đánh răng 3 tác dụng  190 g tặng bàn chải Lipzo Maxcare,Typ,10,0,10,"290,900",0,0,0,0,0,0,0,0,0,0,10,0,10,"290,900"
32.74,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,419800440,Bộ KĐR 12H rạng ngời 185g + Bàn chải Crystal Love for Girl-KM,Bộ,34,0,34,"1,081,812",0,0,0,0,0,0,0,0,0,0,34,0,34,"1,081,812"
32.75,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,419800441,Bộ KĐR 3 tác dụng 190g + Bàn chải Crystal Love for Girl-KM,Bộ,9,0,9,"261,819",0,0,0,0,0,0,0,0,0,0,9,0,9,"261,819"
32.76,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000002,Khăn mặt WJ2,Cái,46,0,46,"1,333,126",0,0,0,0,0,0,0,0,0,0,46,0,46,"1,333,126"
32.77,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000003,Khăn mặt WS4,Cái,28,0,28,"630,000",0,0,0,0,0,0,0,0,0,0,28,0,28,"630,000"
32.78,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000004,Khăn mặt WS1,Cái,20,0,20,"355,560",0,0,0,0,0,0,0,0,0,0,20,0,20,"355,560"
32.79,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000006,Khăn mặt WP1,Cái,14,0,14,"407,036",0,0,0,0,0,0,0,0,0,0,14,0,14,"407,036"
32.80,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000007,Khăn mặt WP2,Cái,12,0,12,"382,224",0,0,0,0,0,0,0,0,0,0,12,0,12,"382,224"
32.81,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000008,Khăn lau đầu HP1,Cái,10,0,10,"554,630",0,0,0,0,0,0,0,0,0,0,10,0,10,"554,630"
32.82,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000010,Khăn tắm BP2,Cái,8,0,8,"880,000",0,0,0,0,0,0,0,0,0,0,8,0,8,"880,000"
32.83,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000014,Khăn tắm BJ3,Cái,10,0,10,"1,645,370",0,0,0,0,0,0,0,0,0,0,10,0,10,"1,645,370"
32.84,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000026,Khăn mặt bông nở FP1,Cái,6,0,6,"211,638",0,0,0,0,0,0,0,0,0,0,6,0,6,"211,638"
32.85,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000027,Khăn mặt sợi sồi FP2,Cái,6,0,6,"231,270",0,0,0,0,0,0,0,0,0,0,6,0,6,"231,270"
32.86,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000028,Khăn mặt sợi tre FP3,Cái,6,0,6,"248,730",0,0,0,0,0,0,0,0,0,0,6,0,6,"248,730"
32.87,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000030,Khăn tắm Sợi sồi BL1,Cái,5,0,5,"612,725",0,0,0,0,0,0,0,0,0,0,5,0,5,"612,725"
32.88,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421000031,Khăn tắm Bông nở BL2,Cái,5,0,5,"612,725",0,0,0,0,0,0,0,0,0,0,5,0,5,"612,725"
32.89,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421200001,Khăn ướt Niva 80 tờ (150mm*200mm*45gms),Gói,72,0,72,"1,832,760",0,0,0,0,0,0,0,0,0,0,72,0,72,"1,832,760"
32.90,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421200003,Khăn ướt Niva 30 tờ,Gói,340,0,340,"2,194,700",0,0,0,0,0,0,0,0,0,0,340,0,340,"2,194,700"
32.91,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421200006,Khăn ướt Niva 100 tờ,Gói,104,0,104,"3,120,000",0,0,0,0,0,0,0,0,0,0,104,0,104,"3,120,000"
32.92,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,421200010,Khăn ướt Niva Baby 80 tờ NB1,Gói,308,0,308,"6,060,208",0,0,0,0,0,0,0,0,0,0,308,0,308,"6,060,208"
32.93,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000006,Khẩu trang Niva 3D người lớn hộp 10 cái,Hộp,15,0,15,"340,905",0,0,0,0,0,0,0,0,0,0,15,0,15,"340,905"
32.94,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000009,Khẩu trang Niva 3D trẻ em hộp 15 cái,Hộp,15,0,15,"511,365",0,0,0,0,0,0,0,0,0,0,15,0,15,"511,365"
32.95,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000016,Khẩu trang y tế 4 lớp hộp 50 cái,Hộp,65,0,65,"2,445,235",0,0,0,0,0,0,0,0,0,0,65,0,65,"2,445,235"
32.96,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000017,Khẩu trang Niva y tế 4 lớp hộp 20 cái,Hộp,70,0,70,"1,053,360",0,0,0,0,0,0,0,0,0,0,70,0,70,"1,053,360"
32.97,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000040,Khẩu trang N95 túi 5 chiếc,Gói,20,0,20,"342,860",0,0,0,0,0,0,0,0,0,0,20,0,20,"342,860"
32.98,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000041,Khẩu trang N95 hộp 10 chiếc,Hộp,20,0,20,"685,720",0,0,0,0,0,0,0,0,0,0,20,0,20,"685,720"
32.99,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000054,Khẩu trang Niva 4D người lớn màu trắng 25pcs,Hộp,30,0,30,"1,022,700",0,0,0,0,0,0,0,0,0,0,30,0,30,"1,022,700"
32.100,NPP Huế Hưng KM,NPP Huế Hưng - Hòa Bình KM,422000060,Khẩu trang niva 4DK trẻ em màu trắng 25pcs,Hộp,30,0,30,"1,022,700",0,0,0,0,0,0,0,0,0,0,30,0,30,"1,022,700"
Tổng cộng:,,,,,,"24,868",12,"24,724","456,092,132",0,0,0,0,0,0,0,0,0,0,"24,868",12,"24,724","456,092,132"
33.1,2014,NPP Hậu Xuân,401000001,Túi zipper người lớn 60 que nhựa AZ1,Túi,360,0,360,"1,603,800",0,0,0,0,0,0,0,0,0,0,360,0,360,"1,603,800"
33.2,2014,NPP Hậu Xuân,401000002,Túi zipper người lớn 100 que nhựa AZ2,Túi,108,0,108,"699,948",0,0,0,0,0,0,0,0,0,0,108,0,108,"699,948"
33.3,2014,NPP Hậu Xuân,401000003,Túi zipper người lớn 200 que nhựa AZ3,Túi,20,0,20,"221,820",0,0,0,0,0,0,0,0,0,0,20,0,20,"221,820"
33.4,2014,NPP Hậu Xuân,401000004,Hũ xoay người lớn 100 que nhựa AH1,Hũ,23,0,23,"278,990",0,0,0,0,0,0,0,0,0,0,23,0,23,"278,990"
33.5,2014,NPP Hậu Xuân,401000005,Hũ xoay người lớn 200 que nhựa AH2,Hũ,156,0,156,"2,888,964",0,0,0,0,0,0,0,0,0,0,156,0,156,"2,888,964"
33.6,2014,NPP Hậu Xuân,401000006,Hũ xoay trẻ em 150 que nhựa BH1,Hũ,228,0,228,"3,377,820",0,0,0,0,0,0,0,0,0,0,228,0,228,"3,377,820"
33.7,2014,NPP Hậu Xuân,401000007,Hũ xoay người lớn 100 que giấy AJ1,Hũ,84,0,84,"1,190,028",0,0,0,0,0,0,0,0,0,0,84,0,84,"1,190,028"
33.8,2014,NPP Hậu Xuân,401000008,Hũ xoay người lớn 200 que giấy AJ2,Hũ,60,0,60,"1,516,680",0,0,0,0,0,0,0,0,0,0,60,0,60,"1,516,680"
33.9,2014,NPP Hậu Xuân,401000025,Túi zipper người lớn 100 que giấy AZP2,Túi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.10,2014,NPP Hậu Xuân,401000026,Túi zipper người lớn 200 que giấy AZP3,Túi,72,0,72,"1,499,976",0,0,0,0,0,0,0,0,0,0,72,0,72,"1,499,976"
33.11,2014,NPP Hậu Xuân,401000031,Túi zipper trẻ em 200 que giấy BZP1,Túi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.12,2014,NPP Hậu Xuân,401000034,Hũ xoay trẻ em 200 que giấy BHP1,Hũ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.13,2014,NPP Hậu Xuân,401300002,Bông trang điểm CP2,Hộp,58,0,58,"1,555,444",0,0,0,0,0,0,0,0,0,0,58,0,58,"1,555,444"
33.14,2014,NPP Hậu Xuân,401300008,Bông tẩy trang CZ2 khuyến mãi 30%,Túi,688,0,688,"21,890,784",0,0,0,0,0,0,0,0,0,0,688,0,688,"21,890,784"
33.15,2014,NPP Hậu Xuân,401300011,Bông tẩy trang tròn 120 miếng CT3,Túi,120,0,120,"2,777,760",0,0,0,0,0,0,0,0,0,0,120,0,120,"2,777,760"
33.16,2014,NPP Hậu Xuân,411000001,Bàn chải Lipzo Pro for Man,Cái,204,0,204,"4,722,192",0,0,0,0,0,0,0,0,0,0,204,0,204,"4,722,192"
33.17,2014,NPP Hậu Xuân,411000003,Bàn chải Lipzo Crystal Love for Girl,Cái,538,0,538,"8,717,752",0,0,0,0,0,0,0,0,0,0,538,0,538,"8,717,752"
33.18,2014,NPP Hậu Xuân,411000005,Bàn chải Lipzo Ruby sensi,Cái,729,0,729,"13,904,946",0,0,0,0,0,0,0,0,0,0,729,0,729,"13,904,946"
33.19,2014,NPP Hậu Xuân,411000007,Bàn chải Lipzo Wow 3 màu khay,Cái,48,0,48,"604,464",0,0,0,0,0,0,0,0,0,0,48,0,48,"604,464"
33.20,2014,NPP Hậu Xuân,411000012,Bàn chải Lipzo Flex khay,Cái,"3,384",0,"3,384","28,916,280",0,0,0,0,0,0,0,0,0,0,"3,384",0,"3,384","28,916,280"
33.21,2014,NPP Hậu Xuân,411000014,Bàn chải Lipzo GPro,Cái,668,0,668,"20,534,988",0,0,0,0,0,0,0,0,0,0,668,0,668,"20,534,988"
33.22,2014,NPP Hậu Xuân,411000015,Bàn chải Lipzo Ruby Charcoal,Cái,"1,162",0,"1,162","32,324,516",0,0,0,0,0,0,0,0,0,0,"1,162",0,"1,162","32,324,516"
33.23,2014,NPP Hậu Xuân,411000016,Bàn chải Lipzo Ruby Gold,Cái,144,0,144,"4,005,792",0,0,0,0,0,0,0,0,0,0,144,0,144,"4,005,792"
33.24,2014,NPP Hậu Xuân,411000019,Bàn chải Lipzo Crystal Kids,Cái,912,0,912,"15,369,024",0,0,0,0,0,0,0,0,0,0,912,0,912,"15,369,024"
33.25,2014,NPP Hậu Xuân,411000020,Bàn chải Lipzo Kids S1,Cái,72,0,72,"2,293,344",0,0,0,0,0,0,0,0,0,0,72,0,72,"2,293,344"
33.26,2014,NPP Hậu Xuân,411000021,Bàn chải Lipzo Kids S2,Cái,"1,364",0,"1,364","20,207,660",0,0,0,0,0,0,0,0,0,0,"1,364",0,"1,364","20,207,660"
33.27,2014,NPP Hậu Xuân,411000065,Bàn chải Maxcare,Cái,"1,532",0,"1,532","25,486,352",0,0,0,0,0,0,0,0,0,0,"1,532",0,"1,532","25,486,352"
33.28,2014,NPP Hậu Xuân,411000078,Bàn chải Lipzo áo dài,Cái,840,0,840,"21,763,560",0,0,0,0,0,0,0,0,0,0,840,0,840,"21,763,560"
33.29,2014,NPP Hậu Xuân,411000105,Bàn chải cao cấp Procare,Cái,168,0,168,"6,533,184",0,0,0,0,0,0,0,0,0,0,168,0,168,"6,533,184"
33.30,2014,NPP Hậu Xuân,411000106,Bàn chải cao cấp Sensitive,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.31,2014,NPP Hậu Xuân,411000107,Bàn chải cao cấp Teen,Cái,480,0,480,"17,111,040",0,0,0,0,0,0,0,0,0,0,480,0,480,"17,111,040"
33.32,2014,NPP Hậu Xuân,411000108,Bàn chải cao cấp Orthor,Cái,360,0,360,"11,666,520",0,0,0,0,0,0,0,0,0,0,360,0,360,"11,666,520"
33.33,2014,NPP Hậu Xuân,411000109,Bàn chải cao cấp Adam,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.34,2014,NPP Hậu Xuân,411000110,Bàn chải Kids Step1,Cái,48,0,48,"1,244,400",0,0,0,0,0,0,0,0,0,0,48,0,48,"1,244,400"
33.35,2014,NPP Hậu Xuân,411000153,Bàn chải cao cấp Pro,Cái,48,0,48,"1,466,640",0,0,0,0,0,0,0,0,0,0,48,0,48,"1,466,640"
33.36,2014,NPP Hậu Xuân,411000156,Bàn chải cao cấp Ruby Pro,Cái,48,0,48,"1,466,640",0,0,0,0,0,0,0,0,0,0,48,0,48,"1,466,640"
33.37,2014,NPP Hậu Xuân,411000157,Bàn chải cao cấp Áo dài Pro,Cái,312,0,312,"10,255,440",0,0,0,0,0,0,0,0,0,0,312,0,312,"10,255,440"
33.38,2014,NPP Hậu Xuân,411100001,Kem đánh răng Shiny Clean 185g,Typ,216,0,216,"6,804,000",0,0,0,0,0,0,0,0,0,0,216,0,216,"6,804,000"
33.39,2014,NPP Hậu Xuân,411100005,Kem đánh răng Gum protect 95g,Typ,16,0,16,"465,456",0,0,0,0,0,0,0,0,0,0,16,0,16,"465,456"
33.40,2014,NPP Hậu Xuân,411100014,Kem đánh răng trẻ em vị chuối 75g,Typ,12,0,12,"392,724",0,0,0,0,0,0,0,0,0,0,12,0,12,"392,724"
33.41,2014,NPP Hậu Xuân,411100016,Kem đánh răng Lipzo Kids Dâu 75g,Hộp,12,0,12,"396,000",0,0,0,0,0,0,0,0,0,0,12,0,12,"396,000"
33.42,2014,NPP Hậu Xuân,419800092,Bộ 2 bàn chải Crystal Love for Girl tặng 01 Crystal love for Girl,Bộ,240,0,240,"7,777,680",0,0,0,0,0,0,0,0,0,0,240,0,240,"7,777,680"
33.43,2014,NPP Hậu Xuân,419800097,Bộ 2 bàn chải Maxcare tặng 01 Maxcare,Bộ,96,0,96,"3,271,104",0,0,0,0,0,0,0,0,0,0,96,0,96,"3,271,104"
33.44,2014,NPP Hậu Xuân,421000002,Khăn mặt WJ2,Cái,528,0,528,"15,301,968",0,0,0,0,0,0,0,0,0,0,528,0,528,"15,301,968"
33.45,2014,NPP Hậu Xuân,421000003,Khăn mặt WS4,Cái,144,0,144,"3,240,000",0,0,0,0,0,0,0,0,0,0,144,0,144,"3,240,000"
33.46,2014,NPP Hậu Xuân,421000004,Khăn mặt WS1,Cái,588,0,588,"10,453,464",0,0,0,0,0,0,0,0,0,0,588,0,588,"10,453,464"
33.47,2014,NPP Hậu Xuân,421000006,Khăn mặt WP1,Cái,876,0,876,"25,468,824",0,0,0,0,0,0,0,0,0,0,876,0,876,"25,468,824"
33.48,2014,NPP Hậu Xuân,421000007,Khăn mặt WP2,Cái,300,0,300,"9,555,600",0,0,0,0,0,0,0,0,0,0,300,0,300,"9,555,600"
33.49,2014,NPP Hậu Xuân,421000014,Khăn tắm BJ3,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.50,2014,NPP Hậu Xuân,421200001,Khăn ướt Niva 80 tờ (150mm*200mm*45gms),Gói,216,0,216,"5,498,280",0,0,0,0,0,0,0,0,0,0,216,0,216,"5,498,280"
33.51,2014,NPP Hậu Xuân,421200006,Khăn ướt Niva 100 tờ,Gói,210,0,210,"6,300,000",0,0,0,0,0,0,0,0,0,0,210,0,210,"6,300,000"
