CÔNG TY CỔ PHẦN DILIGO,,,,,,,,,,,,,,,,,,,,,,,
ĐT: (+84) 24 3795 5333 / 336,,,,,,,,,,,,,,,,,,,,,,,
"Đ/c: Tầng 2, Toà nhà N03T5, Khu Đoàn ngoại giao, Phường Xuân Tảo, Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BÁO CÁO NHẬP XUẤT TỒN,,,,,,,,,,,,,,,,,,,,,,,
Từ ngày : 01/09/2025         đến ngày : 30/09/2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã kho,Tên kho,Mã hàng,Tên hàng,ĐVT,Tồn đầu kỳ,,,,Nhập trong kỳ,,,,,Xuất trong kỳ,,,,,Tồn cuối kỳ,,,
,,,,,,Số lượng,SL chẵn,SL lẻ,Giá trị,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị nhập,Số lượng,SL chẵn,SL lẻ,Giá trị,Giá trị bán,Số lượng,SL chẵn,SL lẻ,Giá trị
4.12,Kho Test,Kho Test,411100004,Kem đánh răng Gum protect 185g,Typ,"9,999",0,"9,999","463,593,636",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","463,593,636"
4.13,Kho Test,Kho Test,411100012,Kem đánh răng Shiny Clean 95g,Typ,"9,999",0,"9,999","224,977,500",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","224,977,500"
4.14,Kho Test,Kho Test,411100014,Kem đánh răng trẻ em vị chuối 75g,Typ,"9,999",0,"9,999","327,237,273",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","327,237,273"
4.15,Kho Test,Kho Test,411100016,Kem đánh răng Lipzo Kids Dâu 75g,Hộp,"9,999",0,"9,999","329,967,000",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","329,967,000"
4.16,Kho Test,Kho Test,411100017,Kem đánh răng 12H rạng ngời 185g,Typ,"9,999",0,"9,999","281,791,818",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","281,791,818"
4.17,Kho Test,Kho Test,411100018,Kem đánh răng 3 tác dụng  190g,Typ,"9,999",0,"9,999","249,975,000",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","249,975,000"
4.18,Kho Test,Kho Test,421000003,Khăn mặt WS4,Cái,"9,999",0,"9,999","224,977,500",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","224,977,500"
4.19,Kho Test,Kho Test,421000004,Khăn mặt WS1,Cái,"9,999",0,"9,999","177,762,222",0,0,0,0,0,0,0,0,0,0,"9,999",0,"9,999","177,762,222"
Tổng cộng:,,,,,,"209,953",0,"209,953","5,716,063,832",0,0,0,0,0,0,0,0,0,0,"209,953",0,"209,953","5,716,063,832"
5.1,142217,NPP Chấn La Lâm Đồng,401300008,Bông tẩy trang CZ2 khuyến mãi 30%,Túi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.2,142217,NPP Chấn La Lâm Đồng,411000012,Bàn chải Lipzo Flex khay,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.3,142217,NPP Chấn La Lâm Đồng,411000015,Bàn chải Lipzo Ruby Charcoal,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4,142217,NPP Chấn La Lâm Đồng,411000021,Bàn chải Lipzo Kids S2,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,142217,NPP Chấn La Lâm Đồng,411000106,Bàn chải cao cấp Sensitive,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6,142217,NPP Chấn La Lâm Đồng,411000107,Bàn chải cao cấp Teen,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7,142217,NPP Chấn La Lâm Đồng,411000108,Bàn chải cao cấp Orthor,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,142217,NPP Chấn La Lâm Đồng,411000109,Bàn chải cao cấp Adam,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9,142217,NPP Chấn La Lâm Đồng,411000110,Bàn chải Kids Step1,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.10,142217,NPP Chấn La Lâm Đồng,411000153,Bàn chải cao cấp Pro,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.11,142217,NPP Chấn La Lâm Đồng,411000154,Bàn chải cao cấp Max X,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.12,142217,NPP Chấn La Lâm Đồng,411000155,Bàn chải cao cấp Man X,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.13,142217,NPP Chấn La Lâm Đồng,411000156,Bàn chải cao cấp Ruby Pro,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.14,142217,NPP Chấn La Lâm Đồng,411100014,Kem đánh răng trẻ em vị chuối 75g,Typ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.15,142217,NPP Chấn La Lâm Đồng,411100016,Kem đánh răng Lipzo Kids Dâu 75g,Hộp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.16,142217,NPP Chấn La Lâm Đồng,419800440,Bộ KĐR 12H rạng ngời 185g + Bàn chải Crystal Love for Girl-KM,Bộ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.17,142217,NPP Chấn La Lâm Đồng,419800441,Bộ KĐR 3 tác dụng 190g + Bàn chải Crystal Love for Girl-KM,Bộ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.18,142217,NPP Chấn La Lâm Đồng,421000031,Khăn tắm Bông nở BL2,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.19,142217,NPP Chấn La Lâm Đồng,421200005,Khăn cotton Niva đa năng 100 tờ,Hộp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.20,142217,NPP Chấn La Lâm Đồng,421200006,Khăn ướt Niva 100 tờ,Gói,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tổng cộng:,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,LĐKM,NPP Chấn La Lâm Đồng KM,401300008,Bông tẩy trang CZ2 khuyến mãi 30%,Túi,231,0,231,"7,349,958",0,0,0,0,0,0,0,0,0,0,231,0,231,"7,349,958"
6.2,LĐKM,NPP Chấn La Lâm Đồng KM,411000012,Bàn chải Lipzo Flex khay,Cái,60,0,60,"512,700",0,0,0,0,0,0,0,0,0,0,60,0,60,"512,700"
6.3,LĐKM,NPP Chấn La Lâm Đồng KM,411000021,Bàn chải Lipzo Kids S2,Cái,176,0,176,"2,607,440",0,0,0,0,0,0,0,0,0,0,176,0,176,"2,607,440"
6.4,LĐKM,NPP Chấn La Lâm Đồng KM,411000106,Bàn chải cao cấp Sensitive,Cái,949,0,949,"33,829,952",0,0,0,0,0,0,0,0,0,0,949,0,949,"33,829,952"
6.5,LĐKM,NPP Chấn La Lâm Đồng KM,411000107,Bàn chải cao cấp Teen,Cái,63,0,63,"2,245,824",0,0,0,0,0,0,0,0,0,0,63,0,63,"2,245,824"
6.6,LĐKM,NPP Chấn La Lâm Đồng KM,411000108,Bàn chải cao cấp Orthor,Cái,16,0,16,"518,512",0,0,0,0,0,0,0,0,0,0,16,0,16,"518,512"
6.7,LĐKM,NPP Chấn La Lâm Đồng KM,411000109,Bàn chải cao cấp Adam,Cái,116,0,116,"4,135,168",0,0,0,0,0,0,0,0,0,0,116,0,116,"4,135,168"
6.8,LĐKM,NPP Chấn La Lâm Đồng KM,411000110,Bàn chải Kids Step1,Cái,12,0,12,"311,100",0,0,0,0,0,0,0,0,0,0,12,0,12,"311,100"
6.9,LĐKM,NPP Chấn La Lâm Đồng KM,411000153,Bàn chải cao cấp Pro,Cái,40,0,40,"1,222,200",0,0,0,0,0,0,0,0,0,0,40,0,40,"1,222,200"
6.10,LĐKM,NPP Chấn La Lâm Đồng KM,411000155,Bàn chải cao cấp Man X,Cái,16,0,16,"525,920",0,0,0,0,0,0,0,0,0,0,16,0,16,"525,920"
6.11,LĐKM,NPP Chấn La Lâm Đồng KM,411000156,Bàn chải cao cấp Ruby Pro,Cái,293,0,293,"8,952,615",0,0,0,0,0,0,0,0,0,0,293,0,293,"8,952,615"
6.12,LĐKM,NPP Chấn La Lâm Đồng KM,421000031,Khăn tắm Bông nở BL2,Cái,1,0,1,"122,545",0,0,0,0,0,0,0,0,0,0,1,0,1,"122,545"
6.13,LĐKM,NPP Chấn La Lâm Đồng KM,421200006,Khăn ướt Niva 100 tờ,Gói,25,0,25,"750,000",0,0,0,0,0,0,0,0,0,0,25,0,25,"750,000"
Tổng cộng:,,,,,,"1,998",0,"1,998","63,083,934",0,0,0,0,0,0,0,0,0,0,"1,998",0,"1,998","63,083,934"
7.1,Chính Anh,NPP Chính Anh - Thường Tín,401000002,Túi zipper người lớn 100 que nhựa AZ2,Túi,72,0,72,"466,632",0,0,0,0,0,0,0,0,0,0,72,0,72,"466,632"
7.2,Chính Anh,NPP Chính Anh - Thường Tín,401000003,Túi zipper người lớn 200 que nhựa AZ3,Túi,84,0,84,"931,644",0,0,0,0,0,0,0,0,0,0,84,0,84,"931,644"
7.3,Chính Anh,NPP Chính Anh - Thường Tín,401000005,Hũ xoay người lớn 200 que nhựa AH2,Hũ,144,0,144,"2,666,736",0,0,0,0,0,0,0,0,0,0,144,0,144,"2,666,736"
7.4,Chính Anh,NPP Chính Anh - Thường Tín,401000006,Hũ xoay trẻ em 150 que nhựa BH1,Hũ,72,0,72,"1,066,680",0,0,0,0,0,0,0,0,0,0,72,0,72,"1,066,680"
7.5,Chính Anh,NPP Chính Anh - Thường Tín,401000008,Hũ xoay người lớn 200 que giấy AJ2,Hũ,24,0,24,"606,672",0,0,0,0,0,0,0,0,0,0,24,0,24,"606,672"
7.6,Chính Anh,NPP Chính Anh - Thường Tín,401000025,Túi zipper người lớn 100 que giấy AZP2,Túi,96,0,96,"1,164,480",0,0,0,0,0,0,0,0,0,0,96,0,96,"1,164,480"
7.7,Chính Anh,NPP Chính Anh - Thường Tín,401000026,Túi zipper người lớn 200 que giấy AZP3,Túi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.8,Chính Anh,NPP Chính Anh - Thường Tín,401000034,Hũ xoay trẻ em 200 que giấy BHP1,Hũ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9,Chính Anh,NPP Chính Anh - Thường Tín,401300008,Bông tẩy trang CZ2 khuyến mãi 30%,Túi,261,0,261,"8,304,498",0,0,0,0,0,0,0,0,0,0,261,0,261,"8,304,498"
7.10,Chính Anh,NPP Chính Anh - Thường Tín,411000001,Bàn chải Lipzo Pro for Man,Cái,192,0,192,"4,444,416",0,0,0,0,0,0,0,0,0,0,192,0,192,"4,444,416"
7.11,Chính Anh,NPP Chính Anh - Thường Tín,411000002,Bàn chải Lipzo Crystal Love for Man,Cái,48,0,48,"777,792",0,0,0,0,0,0,0,0,0,0,48,0,48,"777,792"
7.12,Chính Anh,NPP Chính Anh - Thường Tín,411000003,Bàn chải Lipzo Crystal Love for Girl,Cái,48,0,48,"777,792",0,0,0,0,0,0,0,0,0,0,48,0,48,"777,792"
7.13,Chính Anh,NPP Chính Anh - Thường Tín,411000005,Bàn chải Lipzo Ruby sensi,Cái,24,0,24,"457,776",0,0,0,0,0,0,0,0,0,0,24,0,24,"457,776"
7.14,Chính Anh,NPP Chính Anh - Thường Tín,411000012,Bàn chải Lipzo Flex khay,Cái,360,0,360,"3,076,200",0,0,0,0,0,0,0,0,0,0,360,0,360,"3,076,200"
7.15,Chính Anh,NPP Chính Anh - Thường Tín,411000015,Bàn chải Lipzo Ruby Charcoal,Cái,4,0,4,"111,272",0,0,0,0,0,0,0,0,0,0,4,0,4,"111,272"
7.16,Chính Anh,NPP Chính Anh - Thường Tín,411000019,Bàn chải Lipzo Crystal Kids,Cái,191,0,191,"3,218,732",0,0,0,0,0,0,0,0,0,0,191,0,191,"3,218,732"
7.17,Chính Anh,NPP Chính Anh - Thường Tín,411000021,Bàn chải Lipzo Kids S2,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.18,Chính Anh,NPP Chính Anh - Thường Tín,411000078,Bàn chải Lipzo áo dài,Cái,179,0,179,"4,637,711",0,0,0,0,0,0,0,0,0,0,179,0,179,"4,637,711"
7.19,Chính Anh,NPP Chính Anh - Thường Tín,411000105,Bàn chải cao cấp Procare,Cái,96,0,96,"3,733,248",0,0,0,0,0,0,0,0,0,0,96,0,96,"3,733,248"
7.20,Chính Anh,NPP Chính Anh - Thường Tín,411000106,Bàn chải cao cấp Sensitive,Cái,120,0,120,"4,277,760",0,0,0,0,0,0,0,0,0,0,120,0,120,"4,277,760"
7.21,Chính Anh,NPP Chính Anh - Thường Tín,411000107,Bàn chải cao cấp Teen,Cái,48,0,48,"1,711,104",0,0,0,0,0,0,0,0,0,0,48,0,48,"1,711,104"
7.22,Chính Anh,NPP Chính Anh - Thường Tín,411000108,Bàn chải cao cấp Orthor,Cái,48,0,48,"1,555,536",0,0,0,0,0,0,0,0,0,0,48,0,48,"1,555,536"
7.23,Chính Anh,NPP Chính Anh - Thường Tín,411000153,Bàn chải cao cấp Pro,Cái,156,0,156,"4,766,580",0,0,0,0,0,0,0,0,0,0,156,0,156,"4,766,580"
7.24,Chính Anh,NPP Chính Anh - Thường Tín,411000156,Bàn chải cao cấp Ruby Pro,Cái,96,0,96,"2,933,280",0,0,0,0,0,0,0,0,0,0,96,0,96,"2,933,280"
7.25,Chính Anh,NPP Chính Anh - Thường Tín,411100001,Kem đánh răng Shiny Clean 185g,Typ,156,0,156,"4,914,000",0,0,0,0,0,0,0,0,0,0,156,0,156,"4,914,000"
7.26,Chính Anh,NPP Chính Anh - Thường Tín,411100014,Kem đánh răng trẻ em vị chuối 75g,Typ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.27,Chính Anh,NPP Chính Anh - Thường Tín,411100016,Kem đánh răng Lipzo Kids Dâu 75g,Hộp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.28,Chính Anh,NPP Chính Anh - Thường Tín,419800092,Bộ 2 bàn chải Crystal Love for Girl tặng 01 Crystal love for Girl,Bộ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.29,Chính Anh,NPP Chính Anh - Thường Tín,419800440,Bộ KĐR 12H rạng ngời 185g + Bàn chải Crystal Love for Girl-KM,Bộ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.30,Chính Anh,NPP Chính Anh - Thường Tín,419800441,Bộ KĐR 3 tác dụng 190g + Bàn chải Crystal Love for Girl-KM,Bộ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.31,Chính Anh,NPP Chính Anh - Thường Tín,421000002,Khăn mặt WJ2,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.32,Chính Anh,NPP Chính Anh - Thường Tín,421000004,Khăn mặt WS1,Cái,96,0,96,"1,706,688",0,0,0,0,0,0,0,0,0,0,96,0,96,"1,706,688"
7.33,Chính Anh,NPP Chính Anh - Thường Tín,421000006,Khăn mặt WP1,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.34,Chính Anh,NPP Chính Anh - Thường Tín,421000007,Khăn mặt WP2,Cái,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.35,Chính Anh,NPP Chính Anh - Thường Tín,421200001,Khăn ướt Niva 80 tờ (150mm*200mm*45gms),Gói,72,0,72,"1,832,760",0,0,0,0,0,0,0,0,0,0,72,0,72,"1,832,760"
